Year,Diet low in vegetables,Diet low in whole grains,Diet low in nuts and seeds,Diet low in calcium,Unsafe sex,No access to handwashing facility,Child wasting,Child stunting,Diet high in red meat,Diet low in fiber,Diet low in seafood omega-3 fatty acids,Diet high in sodium,Low physical activity,Non-exclusive breastfeeding,Discontinued breastfeeding,Iron deficiency,Vitamin A deficiency,Zinc deficiency,Smoking,Secondhand smoke,Alcohol use,Drug use,High fasting plasma glucose, High total cholesterol,High systolic blood pressure,High body-mass index,Low bone mineral density,Diet low in fruits,Diet low in legumes,Low birth weight for gestation,Unsafe water source, Unsafe sanitation,Household air pollution from solid fuels,Air pollution ,Outdoor air pollution
2003,16831.11647,22136.65725,18498.36628,1197.081853,5739.018841,3877.272088,19551.74901,4174.795964,14.36173968,10525.61417,13477.98941,34719.54217,5434.743603,2585.658074,290.7959753,499.667087,4652.70216,742.7780458,72810.00707,14907.31288,25038.97167,2484.895312,67948.67173,,78411.97877,30592.94948,895.0109389,15654.71719,8146.871885,18058.05549,7351.275456,3440.637581,28694.61624,44457.54986,15884.78
2004,17625.40785,23500.11287,18824.12557,1236.524936,5591.977707,4035.237153,18960.3062,3948.115947,18.30950994,10645.01124,13527.32713,35353.49473,5577.071505,2512.626634,298.5229643,534.6010689,4298.557617,726.4933882,74732.23698,15231.154,25666.54416,2510.209893,72667.6443,,82004.1792,33257.39668,992.1213331,16855.70636,8252.801029,18447.99532,7761.239519,3503.84547,30061.11252,46353.9351,16421.96
2005,18701.27971,25003.00026,19696.1174,1329.234089,5654.029006,4183.61508,18385.9008,3774.600411,21.5619037,11104.13572,14043.17455,36351.91418,5865.87605,2431.832291,291.7252959,524.1122718,3988.220008,703.7478595,77886.19429,15858.94096,26317.40773,2589.502968,77851.90966,38832.11822,86870.79805,36035.57327,1045.968468,18013.10105,8629.60656,18576.8697,7872.251452,3418.602043,31906.84217,48891.12819,17124.96
2006,19580.30476,26082.6032,20494.02957,1459.749193,6073.996232,4254.186063,17856.14275,3666.450515,24.15618649,11562.32364,14569.21653,37083.80606,6128.944595,2342.701989,277.5517628,466.7776428,3729.704666,675.9479194,80401.78425,16418.79991,26733.00053,2722.001891,81941.19005,40251.2961,91269.83501,38379.8003,1040.090801,18768.53203,9001.344781,18532.09217,7713.374307,3207.384791,33472.95888,51156.87917,17835.65
2007,20265.04682,26939.1245,21139.94095,1565.579558,6070.300114,4359.326078,17550.47299,3615.905738,27.03368231,11924.55242,14973.59911,37202.30119,6328.822173,2322.097799,274.335996,461.4306914,3549.152893,650.5932578,81860.82583,16907.75552,26132.49527,2791.369226,85057.46204,,94243.86381,40425.04779,1053.958796,19290.90798,9313.107662,18262.67433,7650.361396,3032.893161,34860.35902,53174.30028,18473.23
2008,21226.37479,28181.13879,22154.66488,1691.176005,6127.455624,4543.756576,17548.9945,3619.937171,30.70912081,12467.99086,15622.39589,37738.61186,6649.970094,2354.910823,279.0090442,474.6142351,3433.127377,629.791808,84265.54909,17689.96785,25825.37404,2866.667166,89352.68512,,98358.80249,43063.60348,1114.855513,19981.43727,9777.549687,17829.83488,7718.044093,2912.888843,36783.80853,56049.88285,19435.27
2009,22319.69006,29424.36354,23182.05362,1840.608819,6147.972281,4704.010281,17471.11366,3606.650171,33.04405776,13099.57937,16389.55859,38609.88067,6969.714921,2352.02612,275.2492932,452.2017911,3286.28187,606.2870084,86814.24894,18443.70853,25684.15196,2938.461952,94245.53058,,103980.207,46024.43475,1134.304387,20852.04136,10312.91472,17815.67333,7564.91524,2761.012947,38765.89959,58898.68218,20313.1
2010,22973.55721,30134.46984,23891.22524,1965.241002,5890.798442,4773.659488,17288.45343,3571.267806,35.40523207,13527.14027,16907.29108,38815.45132,7195.878063,2343.333408,269.4886026,451.0747872,3162.464897,579.2760069,88067.76468,18986.40349,25650.89257,2959.854717,97626.89194,48014.53281,107851.8619,48271.24011,1181.624117,21062.85418,10689.07181,17407.75541,7311.783291,2557.757153,40094.0478,60932.9452,21028.55
2011,23611.24787,30863.9435,24732.14397,2087.192422,6181.680768,4809.955142,16975.66735,3496.048298,38.31873929,13989.63989,17489.51329,39190.14322,7468.973162,2302.793777,261.284545,414.0328426,3027.662458,556.1311947,89390.11778,19559.83734,25828.22755,3002.087951,101425.9598,,112170.6389,50695.49622,1230.397464,21213.9449,11095.37695,16851.4749,7078.231233,2334.562403,41522.34886,62595.85081,21273.6
2012,24180.42693,31552.12923,25677.23093,2205.380414,6002.332972,4790.94343,16502.56237,3340.249301,42.5074731,14463.04918,18105.76387,39810.31662,7771.695643,2223.477757,249.5462345,403.8452272,2849.207852,526.7053893,90891.70378,20127.77214,26082.88726,3055.118282,105936.4717,,117263.5528,53598.96396,1288.518241,21250.49443,11520.58353,16295.90508,6798.110223,2116.849508,41772.43564,63931.68156,22372.07
2013,24566.9549,32124.36602,26435.5224,2309.57233,5970.934089,4721.346126,16060.33579,3201.356815,48.00209795,14816.78842,18548.34039,40362.11434,8017.707938,2143.146639,233.699145,396.0767526,2686.154197,496.6846739,91582.30339,20552.42649,26943.26777,3118.570798,110714.1455,,122334.8896,56882.15286,1344.963064,21160.55837,11847.43091,15886.06268,6344.15462,1880.416148,42347.97254,64345.06382,22215.84
2014,24793.26877,32558.32539,27046.95512,2403.613741,5948.945952,4643.956439,15987.58651,3128.670917,55.27452984,15102.64834,18882.09091,40639.68505,8224.47195,2114.997043,226.5760411,398.1919296,2611.438886,477.3812782,92018.09525,20880.86865,27256.35977,3182.351775,114983.0716,,126601.8903,60033.33242,1393.701407,21422.50561,12117.98323,15986.95106,6153.16236,1767.750374,42736.90032,64717.80537,22206.59
2015,25564.39953,33736.80741,28058.77894,2530.782521,6381.405458,4550.422529,15426.27859,2919.464354,63.18157354,15627.75673,19514.54916,41616.85761,8570.081723,2022.661314,215.8112742,414.6324143,2438.358218,442.072965,93955.15115,21412.763,28600.96408,3330.202825,121426.8704,,133016.5536,64409.07185,1474.124274,21738.10405,12573.48676,15833.90461,5996.806782,1675.27789,43207.61197,65695.23501,22722.93
2016,25662.85242,33950.9103,28315.93592,2543.243595,6231.105146,4342.641177,14217.52294,2603.636373,68.63196006,15736.38466,19672.17648,42569.59265,8706.830604,1820.373234,192.8624421,382.4272561,2183.59308,394.7008566,94000.51206,21397.25201,29037.14453,3409.494007,123857.436,55522.72187,135115.2885,66507.54107,1494.519277,21421.60555,12709.89646,15021.6648,5629.50555,1531.090229,42603.98461,64604.11566,22242.41
2017,25698.27733,34100.73398,28518.84009,2560.758805,6148.430598,4213.799108,13531.88666,2392.796413,75.03542198,15834.80791,19792.10715,43476.86623,8830.769528,1709.737193,183.9803938,364.886385,2045.77382,365.488903,93737.16162,21407.08577,29506.90953,3498.67673,125938.7476,,137091.3203,68559.41623,1518.154438,20990.36453,12827.66605,14396.03639,5507.287301,1467.362329,42000.06841,64386.21121,22638.53
